,Alpha Values,Threshold Values,F1 Score
106,0.86,3094141,0.5316222138020791
107,0.88,3065439,0.5148955773955773
108,0.89,3300908,0.5008416531228232
109,0.92,3052381,0.5014002191647389
110,0.92,3305740,0.5014002191647389
111,0.86,3133764,0.5316222138020791
112,0.82,2956014,0.5130738187321339
113,0.89,3459142,0.5008416531228232
114,0.85,3197992,0.5046098575801455
115,0.88,3123938,0.5148955773955773
116,0.89,3430558,0.5008416531228232
117,0.91,3402882,0.5014002191647389
118,0.83,3546403,0.5130738187321339
119,0.91,3391312,0.5014002191647389
120,0.85,3329310,0.5046098575801455
121,0.88,3419583,0.5316222138020791
122,0.91,3280737,0.5014002191647389
123,0.86,3548743,0.5335548172757475
124,0.85,3183615,0.5475925631654219
125,0.92,3196299,0.5014002191647389
126,0.85,3314107,0.5046098575801455
127,0.91,3267441,0.5014002191647389
128,0.86,3127594,0.5316222138020791
129,0.82,3010546,0.5130738187321339
130,0.87,3257690,0.5316222138020791
131,0.85,3101810,0.5475925631654219
132,0.85,3326295,0.5046098575801455
133,0.86,3002632,0.5316222138020791
134,0.89,3291375,0.5008416531228232
135,0.86,3210704,0.5316222138020791
136,0.88,3442769,0.5316222138020791
137,0.88,3200934,0.5148955773955773
138,0.89,3519059,0.5008416531228232
139,0.86,3191654,0.5316222138020791
140,0.91,3181631,0.5014002191647389
141,0.91,2915883,0.5014002191647389
142,0.92,3081210,0.5014002191647389
143,0.79,3363665,0.5015384615384615
144,0.89,3468690,0.5008416531228232
145,0.88,3486774,0.5316222138020791
146,0.85,2910367,0.5335548172757475
147,0.91,3380507,0.5014002191647389
148,0.86,3173506,0.5316222138020791
149,0.83,3396522,0.5130738187321339
150,0.83,3437914,0.5130738187321339
151,0.79,3376617,0.5015384615384615
152,0.86,3039741,0.5316222138020791
153,0.83,3353489,0.5130738187321339
154,0.85,3307693,0.5046098575801455
155,0.79,3214265,0.5015384615384615
156,0.85,3039699,0.5475925631654219
157,0.79,3526583,0.5015384615384615
158,0.79,3251614,0.5015384615384615
159,0.88,3148213,0.5148955773955773
160,0.79,3149418,0.5015384615384615
161,0.87,3399720,0.5316222138020791
162,0.87,3025115,0.5316222138020791
163,0.88,3333752,0.5148955773955773
164,0.78,3007746,0.5015384615384615
165,0.82,2985841,0.5130738187321339
166,0.87,2909006,0.5316222138020791
167,0.85,3125380,0.5475925631654219
168,0.79,3355589,0.5015384615384615
169,0.92,3259494,0.5014002191647389
170,0.88,3234368,0.5148955773955773
171,0.83,3470883,0.5130738187321339
172,0.88,3159368,0.5148955773955773
173,0.87,3111932,0.5316222138020791
174,0.86,3148990,0.5316222138020791
175,0.78,2992906,0.5015384615384615
176,0.87,3282436,0.5316222138020791
177,0.87,3367874,0.5316222138020791
178,0.92,3379272,0.5014002191647389
179,0.88,3303818,0.5148955773955773
180,0.88,3495533,0.5316222138020791
181,0.79,3405937,0.5015384615384615
182,0.87,3061114,0.5316222138020791
183,0.87,3122586,0.5316222138020791
184,0.87,3289478,0.5316222138020791
185,0.87,3280217,0.5316222138020791
186,0.93,3404520,0.5014002191647389
187,0.87,3249777,0.5316222138020791
188,0.92,3337269,0.5014002191647389
189,0.92,3241315,0.5014002191647389
190,0.88,3281238,0.5148955773955773
191,0.85,3292668,0.5046098575801455
192,0.85,2990303,0.5475925631654219
193,0.87,3372914,0.5316222138020791
194,0.87,3173843,0.5316222138020791
195,0.82,3053993,0.5130738187321339
196,0.79,3183310,0.5015384615384615
197,0.79,3167111,0.5015384615384615
198,0.79,3270728,0.5015384615384615
199,0.92,3489355,0.5014002191647389
200,0.86,3517923,0.5335548172757475
201,0.87,3295066,0.5316222138020791
202,0.85,3071671,0.5475925631654219
203,0.88,3414776,0.5316222138020791
204,0.79,3280001,0.5015384615384615
205,0.85,3267357,0.5046098575801455
206,0.79,3307924,0.5015384615384615
207,0.88,3262297,0.5148955773955773
208,0.92,3158284,0.5014002191647389
209,0.86,3235301,0.5316222138020791
210,0.85,3111423,0.5475925631654219
211,0.92,3136653,0.5014002191647389
212,0.85,3016045,0.5475925631654219
213,0.88,3535510,0.5316222138020791
214,0.93,3535434,0.5014002191647389
215,0.87,3183116,0.5316222138020791
216,0.89,3440610,0.5008416531228232
217,0.88,3128284,0.5148955773955773
218,0.92,3128818,0.5014002191647389
219,0.85,3099602,0.5475925631654219
220,0.92,3097813,0.5014002191647389
